d_name,d_speciality,total_score,total_survey_count,five_star,five_star_percentage,four_star,four_star_percentage,three_star,three_star_percentage,two_star,two_star_percentage,one_star,one_star_percentage,positive_tags,negative_tags,comment_text
"Dr. Kennith Miller, DO",Family Medicine,5.0,Based on 2 ratings,5 Star,100%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,0%,"['Appointment scheduling (2)', ""Appointment wasn't rushed (2)"", 'Explained conditions well (2)', 'Listened & answered questions (2)', 'Staff friendliness (2)', ""Trusted the provider's decisions (2)"", 'Wait times (1)']",[],"I couldn't have asked for a more educated, thorough, kind, patient, and genuine doctor."
"Dr. Kennith Miller, DO",Family Medicine,5.0,Based on 2 ratings,5 Star,100%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,0%,"['Appointment scheduling (2)', ""Appointment wasn't rushed (2)"", 'Explained conditions well (2)', 'Listened & answered questions (2)', 'Staff friendliness (2)', ""Trusted the provider's decisions (2)"", 'Wait times (1)']",[],"Dr. Miller has YEARS of medical expertise. He is an accurate wonderful diagnostician. He has brought me back to maximum health with his diagnoses, prescribed medications, and advice. I recommend him whenever I can, although his work schedule has been severely cut by the Upland Hills Corporation, which is a true shame. We need MORE Dr. Miller, not LESS!"
"Dr. Paul Levine, DDS",Dentistry,4.6,Based on 20 ratings,5 Star,90%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,10%,"['Appointment scheduling (20)', 'Wait times (20)', 'Staff friendliness (19)', ""Appointment wasn't rushed (18)"", 'Explained conditions well (18)', 'Listened & answered questions (18)', ""Trusted the provider's decisions (18)""]","['Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", ""Didn't trust the provider's decisions (1)""]",Dr. Levine staff are always friendly and professional. It's so nice to be greeted by your first name when you walk in. They listen to my concerns & I'm always in & out in a timely manner. Dr. Levine is very attentive to my dental needs & I will not hesitate to recommend his dental office to all my family & friends.
"Dr. Paul Levine, DDS",Dentistry,4.6,Based on 20 ratings,5 Star,90%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,10%,"['Appointment scheduling (20)', 'Wait times (20)', 'Staff friendliness (19)', ""Appointment wasn't rushed (18)"", 'Explained conditions well (18)', 'Listened & answered questions (18)', ""Trusted the provider's decisions (18)""]","['Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", ""Didn't trust the provider's decisions (1)""]","I strongly and highly recommend everyone To Dr. Levine. What a very comfortable and friendly atmosphere who l see you through all your dental needs. Out f my hole 36 years of life, Dr. Levine has been the most respectful, honest, helpful and most professional Dental service ever experienced. Trust me, when you enter his location, warm welcome and greetings are most definitely and sincerely felt! Thank you Dr. Levine and staff for your extraordinary and professional services!"
"Dr. Paul Levine, DDS",Dentistry,4.6,Based on 20 ratings,5 Star,90%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,10%,"['Appointment scheduling (20)', 'Wait times (20)', 'Staff friendliness (19)', ""Appointment wasn't rushed (18)"", 'Explained conditions well (18)', 'Listened & answered questions (18)', ""Trusted the provider's decisions (18)""]","['Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", ""Didn't trust the provider's decisions (1)""]",Compassionate
"Dr. Paul Levine, DDS",Dentistry,4.6,Based on 20 ratings,5 Star,90%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,10%,"['Appointment scheduling (20)', 'Wait times (20)', 'Staff friendliness (19)', ""Appointment wasn't rushed (18)"", 'Explained conditions well (18)', 'Listened & answered questions (18)', ""Trusted the provider's decisions (18)""]","['Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", ""Didn't trust the provider's decisions (1)""]",It's always a pleasant experience at Levine Dental; the entire staff is so friendly and personable. Any questions are answered completely and in easily understood language. I never dread the visit to the dentist...as long as it's Dr. Levine
"Dr. Paul Levine, DDS",Dentistry,4.6,Based on 20 ratings,5 Star,90%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,10%,"['Appointment scheduling (20)', 'Wait times (20)', 'Staff friendliness (19)', ""Appointment wasn't rushed (18)"", 'Explained conditions well (18)', 'Listened & answered questions (18)', ""Trusted the provider's decisions (18)""]","['Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", ""Didn't trust the provider's decisions (1)""]",Excellent. Edwina excellent hygenist. Paul top notch as always.
"Dr. Paul Levine, DDS",Dentistry,4.6,Based on 20 ratings,5 Star,90%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,10%,"['Appointment scheduling (20)', 'Wait times (20)', 'Staff friendliness (19)', ""Appointment wasn't rushed (18)"", 'Explained conditions well (18)', 'Listened & answered questions (18)', ""Trusted the provider's decisions (18)""]","['Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", ""Didn't trust the provider's decisions (1)""]","Comfortable, compassionate, concerned, polite,"
"Dr. Paul Levine, DDS",Dentistry,4.6,Based on 20 ratings,5 Star,90%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,10%,"['Appointment scheduling (20)', 'Wait times (20)', 'Staff friendliness (19)', ""Appointment wasn't rushed (18)"", 'Explained conditions well (18)', 'Listened & answered questions (18)', ""Trusted the provider's decisions (18)""]","['Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", ""Didn't trust the provider's decisions (1)""]","Great dentist and office staff, very caring, friendly, enjoyable team of professionals. As a long term customer (20 plus years), I would highly recommend Dr Levine and his team to anyone. I do not have anything negative to say at all. Iis a wonderful feeling to know everyone wants you to have the very best experience."
"Dr. Paul Levine, DDS",Dentistry,4.6,Based on 20 ratings,5 Star,90%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,10%,"['Appointment scheduling (20)', 'Wait times (20)', 'Staff friendliness (19)', ""Appointment wasn't rushed (18)"", 'Explained conditions well (18)', 'Listened & answered questions (18)', ""Trusted the provider's decisions (18)""]","['Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", ""Didn't trust the provider's decisions (1)""]","Our visit with Dr. Paul and Stacey was Awesome, as always! Dr. Paul has been my dentist for almost 20 years and there has never been a time that we've been dissatisfied with the care we've received. They're also great with kids!"
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","Great listener & always positive
Dr. McGowan is a great doctor. He is a great listener, extremely helpful with any questions/concerns, and he has a way of making the ""not so great things"" seem better. I have already recommended him to friends/family."
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","Exceptional Care and Attention
I've been going to Doctor McGowan for a few years. He's always very attentive and listens to all of my concerns. He's very knowledgeable as well, and I always fell like I've received the absolute best care. Even after I've moved, I still drive the extra time to see him."
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","Friendly, knowledgeable and listens
Dr. McGowan is easy to talk with listens and follows up on All our concerns. Listened to our daughters concerns who is a RN about our medical issues also. Very patient with both of us, never rushed. All his staff are always super friendly and helpful. We always recommend this Doctor to everyone we know."
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","I actually had a physical with Dr McGowan's Physician Assistant, Scott Heelan, recently. It was my first time using the practice and I was very impressed with the staff, the office, and the atmosphere. I am happy that the practice was recommended to me by a friend. It is easy to get an appointment and there is always a friendly voice on the other of the phone, whether it is to make an appointment, get information, or follow up with the staff. I feel like Mr Heelan really listened to me, addressed all of my concerns, and gave me a wealth of information about my health and well being. I would highly recommend this practice to anyone looking for a family practitioner in the Libertyville area."
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","Dr. McGowan is the best doctor I've ever had & I'm almost 74 years old. He's knowledgeable, patience, listens. I highly recommend him."
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","In my 59 years in this planet, I have never had a better doctor."
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']",Dr. McGowan is not only down to earth but is a very patient and caring person on top of being an excellent Dr. I would highly recommend him. His PA Sandi is also highly recommended as well. Very knowledgeable and kind.
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","This physician is terrific. He is smart and knowledgeable, caring and kind. His practice is very efficient and patient-friendly. The pt portal is an easy way to pick an appointment time, give and receive messages, and get test results. This MD is also down to earth, practical, and reasonable. Great guy."
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","I have been seeing Dr, McGowen for over 15 years and I cannot say enough positive things about him. If you are in search of a Dr. for you and your family search no further you will not be disappointed."
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","Dr. McGowan is wonderful. He listens and doesn’t make you feel rushed. He responds to emails, via the portal, in a very timely manner. His nurse and physican assistants are awesome! Front desk staff not so much. They are not very responsive to answering the phone or returning messages and the reason I didn’t give 5 stars."
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","He is the BEST DOCTOR I’ve ever come across, caring and knowledgeable. A true healer"
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']",Our family has been seeing Dr. McGowan for 13 years. He is a great family doctor. He listens to his patients and works with them. He is not condescending and is very caring. He is so great with our son and he is the only doctor that he trusts. He is amazing. Highly recommend.
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","Dr. McGowan is the best doctor that I have ever seen. I highly recommend him. If you want a warm, caring doctor who actually listens to you, he is the doctor to see. Trust me, you will be happy with him and the care that he provides."
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","I can not say enough. I have never had a doctor so caring and down to earth. I called the office and they got me in right away, turned out it was on his lunch hour. I love him!! I give him 10 stars!!!!!!!"
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","The staff and the Doctor were very nice. I tend to get a bit keyed up when going to see medical personnel, but the whole experience made me feel at ease."
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']",Dr Mc Gowan is the best Doctor you can find. He listens to your questions and will keep working with you until you find a solution. I recommend him to all my friends and family.
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']",Dr. McGowan is great. He takes his time with the appointments and listen to all of your concerns.
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']",Very pleasant and professional. Down to earth. Highly recommend.
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']",Been seeing Dr.Mcgowan for years. Now my wife and son see him as well. Very personable and takes his time.
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","He is a great Dr,,he listens and will do what he has to to get what he thinks for the pt."
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']",Dr. McGowan is vet personable. He will always help you!
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']",He cares about his patient and is a good listener
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']",Very professional and easy to talk to great bedside manner. Would highly recommend his family practice .
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']",Fantastic care! Dr McGowan is very caring & compassionate towards his patients. He always takes the time to listen and I never feel rushed. I have always had confidence in the care he has provided. He works with you on a plan that works best for you. He genuinely cares for his patients.
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","He has been my doctor for about 15 yesrs. HE IS aamazing. He is what the true meaning of a doctor is.; caring , compassionate, very though and will always listen."
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","Dr. McGowan is very down to earth, and extremely knowledgeable . He actually seems to care about his patients, and takes time to answer all questions and concerns. I would highly recommend him."
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']","Dr. Mcgowan is a wonderful doctor. He actually looks you in the eye, asks you how you feel about various treatment options, cares about your concerns and then does his best with treatment Option in a way that can work best for you (because he listens) and your health so your sure to have quality & quantity of care that you can actually acheive or participate in. Thank you Dr.McGowen for being the type of doctor. Refreshing to have a doctor you can talk to no matter what the topic."
"Dr. Thomas McGowan, MD",Family Medicine,4.7,Based on 57 ratings,5 Star,89%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,7%,"[""Appointment wasn't rushed (53)"", 'Listened & answered questions (53)', 'Explained conditions well (52)', ""Trusted the provider's decisions (52)"", 'Wait times (49)', 'Staff friendliness (48)', 'Appointment scheduling (47)']","[""Staff wasn't friendly (5)"", 'Appointment was rushed (4)', ""Didn't explain conditions well (4)"", ""Didn't trust the provider's decisions (4)"", 'Difficult to schedule appointment (4)', ""Didn't listen or answer questions (3)"", 'Long wait times (2)']",Dr. McGowan listens to his patients and doesn't give the impression that he's in a hurry to just get you out of his office and on to the next one.
"Jacob Malooly, PA-C",Family Medicine,5.0,Based on 2 ratings,5 Star,100%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,0%,"['Appointment scheduling (2)', ""Appointment wasn't rushed (2)"", 'Explained conditions well (2)', 'Listened & answered questions (2)', 'Staff friendliness (2)', ""Trusted the provider's decisions (2)"", 'Wait times (2)']",[],"5 stars are not enough. Jake is compassionate, relateable, and brilliant. He practices at a level much higher than I've ever seen from a PA or NP (and most MD's) and his patients can be confident they are getting the highest level of care available from a mid-level provider. And all while he shows great humility. He's not some typical NP/PA tool with a chip on his shoulder thinking he's a brain surgeon. He fulfills his role excellently and knows when to refer. Excellence still exists!"
